Iteration 1: c = }, s = reset, state = 0
Iteration 2: c = {, s = resett, state = 0
Iteration 3: c = x, s = resett, state = 0
Iteration 4: c =  , s = , state = 0
Iteration 5: c = (, s = reset, state = 0
Iteration 6: c = (, s = reset, state = 0
Iteration 7: c =  , s = reset, state = 0
Iteration 8: c = x, s = nada, state = 0
Iteration 9: c = ), s = reset, state = 0
Iteration 10: c = [, s = rese, state = 0
Iteration 11: c = (, s = rest, state = 1
Iteration 12: c = ), s = rest, state = 2
Iteration 13: c = x, s = rest, state = 2
Iteration 14: c = ], s = , state = 2
Iteration 15: c = ), s = rese, state = 2
Iteration 16: c = a, s = nada, state = 2
Iteration 17: c = x, s = reset, state = 2
Iteration 18: c = x, s = , state = 2
Iteration 19: c = {, s = rest, state = 2
Iteration 20: c = {, s = rest, state = 3
Iteration 21: c = ), s = , state = 3
Iteration 22: c = ], s = resett, state = 3
Iteration 23: c = {, s = reset, state = 3
Iteration 24: c =  , s = rese, state = 3
Iteration 25: c = ), s = resett, state = 4
Iteration 26: c = ), s = reset, state = 4
Iteration 27: c = (, s = , state = 4
Iteration 28: c = x, s = nada, state = 4
Iteration 29: c = x, s = resett, state = 4
Iteration 30: c = }, s = reset, state = 4
Iteration 31: c = [, s = resett, state = 4
Iteration 32: c = {, s = reset, state = 4
Iteration 33: c = }, s = rese, state = 4
Iteration 34: c = a, s = nada, state = 4
Iteration 35: c =  , s = nada, state = 5
Iteration 36: c = ], s = reset, state = 5
Iteration 37: c = ], s = nada, state = 5
Iteration 38: c = (, s = reset, state = 5
Iteration 39: c = (, s = , state = 5
Iteration 40: c = [, s = reset, state = 5
Iteration 41: c = a, s = resett, state = 5
Iteration 42: c = }, s = , state = 5
Iteration 43: c = ], s = rest, state = 5
Iteration 44: c = (, s = , state = 5
Iteration 45: c =  , s = rese, state = 5
Iteration 46: c = a, s = rest, state = 5
Iteration 47: c = ), s = reset, state = 5
Iteration 48: c = [, s = reset, state = 5
Iteration 49: c = (, s = rest, state = 5
Iteration 50: c = {, s = reset, state = 5
Iteration 51: c = [, s = reset, state = 5
Iteration 52: c = }, s = reset, state = 5
Iteration 53: c = ), s = rese, state = 5
Iteration 54: c = (, s = rese, state = 5
Iteration 55: c = [, s = nada, state = 5
Iteration 56: c = }, s = nada, state = 5
Iteration 57: c = a, s = resett, state = 5
Iteration 58: c = ], s = resett, state = 5
Iteration 59: c = (, s = resett, state = 5
Iteration 60: c = }, s = rest, state = 5
Iteration 61: c = }, s = , state = 5
Iteration 62: c = ], s = reset, state = 5
Iteration 63: c = a, s = resett, state = 5
Iteration 64: c = }, s = rest, state = 5
Iteration 65: c = (, s = resett, state = 5
Iteration 66: c = (, s = rese, state = 5
Iteration 67: c = ), s = nada, state = 5
Iteration 68: c = {, s = reset, state = 5
Iteration 69: c =  , s = reset, state = 5
Iteration 70: c =  , s = nada, state = 5
Iteration 71: c = ], s = reset, state = 5
Iteration 72: c = }, s = reset, state = 5
Iteration 73: c = (, s = , state = 5
Iteration 74: c = x, s = nada, state = 5
Iteration 75: c = a, s = rese, state = 6
Iteration 76: c = x, s = nada, state = 6
Iteration 77: c = ], s = rest, state = 6
Iteration 78: c = (, s = resett, state = 6
Iteration 79: c = ], s = reset, state = 6
Iteration 80: c = ], s = reset, state = 6
Iteration 81: c =  , s = rese, state = 6
Iteration 82: c = [, s = reset, state = 6
Iteration 83: c = a, s = rese, state = 6
Iteration 84: c = x, s = reset, state = 6
Iteration 85: c = [, s = resett, state = 6
Iteration 86: c = ), s = nada, state = 6
Iteration 87: c = }, s = resett, state = 6
Iteration 88: c = [, s = rese, state = 7
Iteration 89: c = a, s = nada, state = 7
Iteration 90: c = x, s = reset, state = 7
Iteration 91: c = x, s = reset, state = 7
Iteration 92: c = x, s = rest, state = 7
Iteration 93: c = (, s = resett, state = 7
Iteration 94: c = x, s = rese, state = 7
Iteration 95: c = (, s = reset, state = 7
Iteration 96: c = a, s = nada, state = 7
Iteration 97: c = [, s = reset, state = 7
Iteration 98: c = {, s = rese, state = 7
Iteration 99: c =  , s = , state = 7
Iteration 100: c = ], s = , state = 7
Iteration 101: c = }, s = resett, state = 7
Iteration 102: c = [, s = rese, state = 7
Iteration 103: c = x, s = , state = 7
Iteration 104: c = }, s = nada, state = 7
Iteration 105: c = a, s = , state = 7
Iteration 106: c = ), s = resett, state = 7
Iteration 107: c = {, s = rese, state = 8
Iteration 108: c = (, s = resett, state = 8
Iteration 109: c = }, s = reset, state = 8
Iteration 110: c = ), s = resett, state = 8
Iteration 111: c = ], s = reset, state = 8
error 
